Group,Species,Method1,Method2,Method3,Method4
Frogs,Alpine Tree Frog,spotlight,,,
Frogs,Blue Mountains Tree Frog,spotlight,,,
Frogs,Booroolong Tree Frog,spotlight,,,
Frogs,Dendys Toadlet,area,,,
Frogs,Giant Burrowing Frog,spotlight,,,autoacou
Frogs,Green and Golden Bell Frog,spotlight,,,
Frogs,Kefersteins Tree Frog,area,,,
Frogs,Littlejohns Tree Frog,spotlight,,,
Frogs,Martins Toadlet,area,,,
Frogs,Southern Barred Frog,spotlight,,,
Frogs,Spotted Tree Frog,spotlight,,,
Birds,Brown Gerygone,,area,,
Birds,Eastern Bristlebird,,area,,
Birds,Ground Parrot,,point,,autoacou
Birds,Lewins Honeyeater,active,,,
Birds,Red-browed Treecreeper,,area,,
Birds,Regent Honeyeater,,,area,
Birds,Spotted Quail-thrush,,area,,
Birds,Swift Parrot,,,area,
Mammals,Broad-toothed Rat,camera,,,
Mammals,Brush-tailed Rock-wallaby,camera,,,
Mammals,Eastern Pygmy-possum,,,spotlight,
Mammals,Koala,,,area,
Mammals,Long-footed Potoroo,camera,,,
Mammals,Long-nosed Bandicoot,camera,,,
Mammals,Long-nosed Potoroo,camera,,,
Mammals,Mountain Pygmy-possum,camera,,,
Mammals,New Holland Mouse,camera,,,
Mammals,Platypus,,,,edna
Mammals,Smoky Mouse,camera,,,
Mammals,Southern Brown Bandicoot,camera,,,
Mammals,Spotted-tailed Quoll,camera,,,
Mammals,Water Rat,camera,,,
Mammals,White-footed Dunnart,camera,,,
Reptiles,Alpine Bog Skink,area,,,
Reptiles,Alpine She-oak Skink,area,,,
Reptiles,Alpine Water Skink,area,,,
Reptiles,Copper-tailed Skink,area,,,
Reptiles,Diamond Python,area,,,
Reptiles,Eastern She-oak Skink,area,,,
Reptiles,Gippsland Water Dragon,area,,,
Reptiles,Lace Monitor,area,,,
Reptiles,Red-throated Skink,area,,,
Reptiles,Swamp Skink,area,,,
Reptiles,Yellow-bellied Water Skink,area,,,
